Date_ID,Citizenship_ID,Gender_ID,Number_of_Employment
1,1,1,"1,365,654"
1,1,2,"723,789"
1,2,1,"6,051,404"
1,2,2,"250,388"
4,1,1,"1,385,268"
4,1,2,"680,070"
4,2,1,"5,869,394"
4,2,2,"255,438"
7,1,1,"1,416,888"
7,1,2,"718,420"
7,2,1,"5,762,323"
7,2,2,"260,754"
10,1,1,"1,469,850"
10,1,2,"770,962"
10,2,1,"6,010,505"
10,2,2,"279,991"
13,1,1,"1,531,720"
13,1,2,"841,770"
13,2,1,"6,424,480"
13,2,2,"298,509"
16,1,1,"1,563,771"
16,1,2,"879,182"
16,2,1,"6,787,008"
16,2,2,"311,661"
19,1,1,"1,582,946"
19,1,2,"926,180"
19,2,1,"6,955,296"
19,2,2,"318,392"
22,1,1,"1,611,085"
22,1,2,"970,330"
22,2,1,"7,019,759"
22,2,2,"321,864"
