Date_ID,Citizenship_ID,Mode_of_Departure_ID,Number_of_Tourists
1,1,1,"24,782"
1,1,2,0
1,1,3,0
1,2,1,"250,855"
1,2,2,"30,788"
1,2,3,0
2,1,1,"13,620"
2,1,2,0
2,1,3,0
2,2,1,"149,640"
2,2,2,"28,536"
2,2,3,"2,505"
3,1,1,"12,453"
3,1,2,"7,755"
3,1,3,0
3,2,1,"183,995"
3,2,2,"89,871"
3,2,3,0
4,1,1,"13,250"
4,1,2,"4,046"
4,1,3,0
4,2,1,"208,288"
4,2,2,"108,121"
4,2,3,0
5,1,1,"55,092"
5,1,2,"67,558"
5,1,3,0
5,2,1,"284,447"
5,2,2,"126,060"
5,2,3,0
6,1,1,"146,812"
6,1,2,"121,487"
6,1,3,0
6,2,1,"287,182"
6,2,2,"89,307"
6,2,3,0
7,1,1,"132,177"
7,1,2,"202,125"
7,1,3,0
7,2,1,"334,655"
7,2,2,"225,266"
7,2,3,0
8,1,1,"151,349"
8,1,2,"230,493"
8,1,3,"4,728"
8,2,1,"199,511"
8,2,2,"233,017"
8,2,3,0
9,1,1,"152,354"
9,1,2,"243,723"
9,1,3,"3,513"
9,2,1,"529,981"
9,2,2,"172,711"
9,2,3,"1,597"
10,1,1,"186,877"
10,1,2,"294,885"
10,1,3,"5,065"
10,2,1,"359,537"
10,2,2,"143,162"
10,2,3,0
11,1,1,"215,219"
11,1,2,"474,098"
11,1,3,"5,048"
11,2,1,"403,813"
11,2,2,"102,818"
11,2,3,"4,951"
12,1,1,"166,294"
12,1,2,"377,483"
12,1,3,"4,975"
12,2,1,"448,990"
12,2,2,"93,957"
12,2,3,"4,301"
13,1,1,"201,300"
13,1,2,"257,494"
13,1,3,"2,629"
13,2,1,"371,822"
13,2,2,"92,843"
13,2,3,"2,958"
14,1,1,"166,509"
14,1,2,"180,008"
14,1,3,"2,601"
14,2,1,"393,767"
14,2,2,"78,866"
14,2,3,"2,319"
15,1,1,"260,969"
15,1,2,"461,627"
15,1,3,"5,385"
15,2,1,"480,386"
15,2,2,"140,102"
15,2,3,"2,132"
16,1,1,"87,672"
16,1,2,"228,265"
16,1,3,98
16,2,1,"540,490"
16,2,2,"151,381"
16,2,3,"2,770"
17,1,1,"295,111"
17,1,2,"657,108"
17,1,3,345
17,2,1,"402,860"
17,2,2,"112,738"
17,2,3,"1,892"
18,1,1,"282,576"
18,1,2,"585,837"
18,1,3,431
18,2,1,"648,983"
18,2,2,"127,815"
18,2,3,"5,507"
19,1,1,"586,183"
19,1,2,"607,694"
19,1,3,"1,189"
19,2,1,"790,150"
19,2,2,"215,587"
19,2,3,"9,469"
20,1,1,"534,019"
20,1,2,"686,858"
20,1,3,514
20,2,1,"406,955"
20,2,2,"115,927"
20,2,3,"1,459"
21,1,1,"330,694"
21,1,2,"515,111"
21,1,3,295
21,2,1,"418,518"
21,2,2,"96,036"
21,2,3,"1,234"
22,1,1,"278,595"
22,1,2,"496,284"
22,1,3,182
22,2,1,"425,355"
22,2,2,"121,685"
22,2,3,"1,045"
23,1,1,"384,938"
23,1,2,"555,815"
23,1,3,"1,319"
23,2,1,"461,753"
23,2,2,"140,090"
23,2,3,"1,221"
24,1,1,"293,098"
24,1,2,"513,622"
24,1,3,"1,297"
24,2,1,"512,623"
24,2,2,"138,522"
24,2,3,"1,485"
