Date_ID,Citizenship_ID,Purpose_ID,Number_of_Tourists
1,1,1,"4,912"
1,1,2,"19,870"
1,1,3,0
1,1,4,0
1,2,1,"28,888"
1,2,2,0
1,2,3,0
1,2,4,"252,756"
2,1,1,"2,724"
2,1,2,"10,896"
2,1,3,0
2,1,4,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,"180,680"
3,1,1,"3,399"
3,1,2,"6,569"
3,1,3,0
3,1,4,"10,241"
3,2,1,"25,755"
3,2,2,0
3,2,3,0
3,2,4,"248,111"
4,1,1,0
4,1,2,"8,010"
4,1,3,"2,870"
4,1,4,"6,416"
4,2,1,"12,123"
4,2,2,0
4,2,3,0
4,2,4,"304,286"
5,1,1,0
5,1,2,"105,999"
5,1,3,0
5,1,4,"16,650"
5,2,1,0
5,2,2,"43,364"
5,2,3,0
5,2,4,"367,143"
6,1,1,"6,410"
6,1,2,"212,356"
6,1,3,"5,495"
6,1,4,"44,039"
6,2,1,"17,615"
6,2,2,"59,983"
6,2,3,0
6,2,4,"298,890"
7,1,1,"14,842"
7,1,2,"278,596"
7,1,3,0
7,1,4,"40,865"
7,2,1,0
7,2,2,"81,827"
7,2,3,0
7,2,4,"478,094"
8,1,1,0
8,1,2,"310,932"
8,1,3,"11,230"
8,1,4,"64,408"
8,2,1,"17,759"
8,2,2,"83,499"
8,2,3,0
8,2,4,"331,270"
9,1,1,"9,317"
9,1,2,"226,307"
9,1,3,"19,524"
9,1,4,"144,442"
9,2,1,"40,531"
9,2,2,"182,795"
9,2,3,"20,358"
9,2,4,"460,606"
10,1,1,"13,624"
10,1,2,"310,538"
10,1,3,"14,853"
10,1,4,"147,813"
10,2,1,"17,202"
10,2,2,"96,453"
10,2,3,"14,911"
10,2,4,"374,133"
11,1,1,"18,026"
11,1,2,"420,474"
11,1,3,"25,650"
11,1,4,"230,214"
11,2,1,"24,477"
11,2,2,"81,447"
11,2,3,"15,206"
11,2,4,"390,452"
12,1,1,"10,726"
12,1,2,"329,102"
12,1,3,"12,564"
12,1,4,"196,360"
12,2,1,"24,575"
12,2,2,"91,431"
12,2,3,"22,233"
12,2,4,"409,010"
13,1,1,"12,555"
13,1,2,"308,338"
13,1,3,"14,136"
13,1,4,"126,395"
13,2,1,"38,283"
13,2,2,"32,758"
13,2,3,"7,479"
13,2,4,"389,103"
14,1,1,"8,974"
14,1,2,"232,105"
14,1,3,"12,201"
14,1,4,"95,839"
14,2,1,"29,452"
14,2,2,"56,109"
14,2,3,"15,865"
14,2,4,"373,525"
15,1,1,"21,285"
15,1,2,"417,923"
15,1,3,"18,080"
15,1,4,"270,693"
15,2,1,"8,863"
15,2,2,"74,625"
15,2,3,"14,550"
15,2,4,"524,583"
16,1,1,"9,857"
16,1,2,"137,518"
16,1,3,"10,286"
16,1,4,"158,374"
16,2,1,"12,571"
16,2,2,"70,302"
16,2,3,"11,145"
16,2,4,"600,623"
17,1,1,"26,007"
17,1,2,"524,418"
17,1,3,"23,149"
17,1,4,"378,990"
17,2,1,"9,232"
17,2,2,"101,443"
17,2,3,"3,667"
17,2,4,"403,148"
18,1,1,"19,354"
18,1,2,"464,246"
18,1,3,"27,180"
18,1,4,"358,063"
18,2,1,"15,889"
18,2,2,"88,867"
18,2,3,"18,475"
18,2,4,"659,074"
19,1,1,"21,246"
19,1,2,"597,920"
19,1,3,"26,441"
19,1,4,"549,459"
19,2,1,"14,965"
19,2,2,"91,696"
19,2,3,"7,378"
19,2,4,"901,167"
20,1,1,"30,870"
20,1,2,"626,786"
20,1,3,"26,821"
20,1,4,"536,914"
20,2,1,"1,536"
20,2,2,"81,365"
20,2,3,"11,690"
20,2,4,"429,750"
21,1,1,"24,056"
21,1,2,"444,053"
21,1,3,"23,471"
21,1,4,"354,520"
21,2,1,"14,718"
21,2,2,"82,350"
21,2,3,"10,280"
21,2,4,"408,440"
22,1,1,"21,876"
22,1,2,"374,596"
22,1,3,"51,069"
22,1,4,"327,520"
22,2,1,"52,493"
22,2,2,"58,616"
22,2,3,"18,726"
22,2,4,"418,250"
23,1,1,"37,084"
23,1,2,"524,257"
23,1,3,"58,151"
23,1,4,"322,580"
23,2,1,"82,765"
23,2,2,"94,413"
23,2,3,"12,151"
23,2,4,"413,736"
24,1,1,"19,725"
24,1,2,"401,224"
24,1,3,"43,670"
24,1,4,"343,398"
24,2,1,"85,682"
24,2,2,"96,277"
24,2,3,"31,261"
24,2,4,"439,410"
